shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
RUTA_ESC_VAL,9.29594,-70.67082,1
RUTA_ESC_VAL,9.29651,-70.67055,2
RUTA_ESC_VAL,9.2963,-70.67004,3
RUTA_ESC_VAL,9.29623,-70.66989,4
RUTA_ESC_VAL,9.29685,-70.66962,5
RUTA_ESC_VAL,9.29713,-70.66951,6
RUTA_ESC_VAL,9.29727,-70.66945,7
RUTA_ESC_VAL,9.2974,-70.6694,8
RUTA_ESC_VAL,9.29808,-70.66905,9
RUTA_ESC_VAL,9.29807,-70.66904,10
RUTA_ESC_VAL,9.29806,-70.66898,11
RUTA_ESC_VAL,9.29806,-70.66893,12
RUTA_ESC_VAL,9.29807,-70.66887,13
RUTA_ESC_VAL,9.29808,-70.66882,14
RUTA_ESC_VAL,9.29809,-70.66876,15
RUTA_ESC_VAL,9.2981,-70.66871,16
RUTA_ESC_VAL,9.2981,-70.66865,17
RUTA_ESC_VAL,9.29809,-70.66859,18
RUTA_ESC_VAL,9.29809,-70.66854,19
RUTA_ESC_VAL,9.29808,-70.66848,20
RUTA_ESC_VAL,9.29808,-70.66847,21
RUTA_ESC_VAL,9.29808,-70.66843,22
RUTA_ESC_VAL,9.29808,-70.66837,23
RUTA_ESC_VAL,9.29807,-70.66831,24
RUTA_ESC_VAL,9.29807,-70.66826,25
RUTA_ESC_VAL,9.29807,-70.6682,26
RUTA_ESC_VAL,9.29808,-70.66815,27
RUTA_ESC_VAL,9.2981,-70.66809,28
RUTA_ESC_VAL,9.29811,-70.66804,29
RUTA_ESC_VAL,9.29813,-70.66799,30
RUTA_ESC_VAL,9.29815,-70.66794,31
RUTA_ESC_VAL,9.29816,-70.66794,32
RUTA_ESC_VAL,9.29818,-70.66789,33
RUTA_ESC_VAL,9.2982,-70.66784,34
RUTA_ESC_VAL,9.29823,-70.66779,35
RUTA_ESC_VAL,9.29827,-70.66775,36
RUTA_ESC_VAL,9.29831,-70.66771,37
RUTA_ESC_VAL,9.29835,-70.66767,38
RUTA_ESC_VAL,9.2984,-70.66764,39
RUTA_ESC_VAL,9.29844,-70.66761,40
RUTA_ESC_VAL,9.29849,-70.66759,41
RUTA_ESC_VAL,9.29853,-70.66757,42
RUTA_ESC_VAL,9.29854,-70.66756,43
RUTA_ESC_VAL,9.2986,-70.66755,44
RUTA_ESC_VAL,9.29865,-70.66754,45
RUTA_ESC_VAL,9.29871,-70.66753,46
RUTA_ESC_VAL,9.29876,-70.66753,47
RUTA_ESC_VAL,9.29882,-70.66752,48
RUTA_ESC_VAL,9.29887,-70.66752,49
RUTA_ESC_VAL,9.29893,-70.66752,50
RUTA_ESC_VAL,9.29898,-70.66751,51
RUTA_ESC_VAL,9.29904,-70.66752,52
RUTA_ESC_VAL,9.29909,-70.66752,53
RUTA_ESC_VAL,9.29915,-70.66752,54
